service_id,date,exception_type
BLUS:HAAO001:1:001MFBLUS:O:14,20250711,2
BLUS:HAAO001:1:001MFBLUS:O:14,20250714,2
BLUS:HAAO001:1:001MFBLUS:O:14,20250715,2
BLUS:HAAO001:1:001MFBLUS:O:14,20250716,2
BLUS:HAAO001:1:001MFBLUS:O:14,20250717,2
BLUS:HAAO001:1:001MFBLUS:O:14,20250718,2
BLUS:HAAO001:1:001MFBLUS:O:14,20250825,2
BLUS:HAAO001:1:001MFBLUS:O:15,20250616,1
BLUS:HAAO001:1:001MFBLUS:O:15,20250617,1
BLUS:HAAO001:1:001MFBLUS:O:15,20250618,1
BLUS:HAAO001:1:001MFBLUS:O:15,20250619,1
BLUS:HAAO001:1:001MFBLUS:O:15,20250620,1
BLUS:HAAO001:1:001MFBLUS:O:15,20250623,1
BLUS:HAAO001:1:001MFBLUS:O:15,20250624,1
BLUS:HAAO001:1:001MFBLUS:O:15,20250625,1
BLUS:HAAO001:1:001MFBLUS:O:15,20250626,1
BLUS:HAAO001:1:001MFBLUS:O:15,20250627,1
BLUS:HAAO001:1:001MFBLUS:O:15,20250630,1
BLUS:HAAO001:1:001MFBLUS:O:15,20250701,1
BLUS:HAAO001:1:001MFBLUS:O:15,20250702,1
BLUS:HAAO001:1:001MFBLUS:O:15,20250703,1
BLUS:HAAO001:1:001MFBLUS:O:15,20250704,1
BLUS:HAAO001:1:001MFBLUS:O:15,20250707,1
BLUS:HAAO001:1:001MFBLUS:O:15,20250708,1
BLUS:HAAO001:1:001MFBLUS:O:15,20250709,1
BLUS:HAAO001:1:001MFBLUS:O:15,20250710,1
BLUS:HAAO001:1:001MFBLUS:O:15,20250711,1
BLUS:HAAO001:1:001MFBLUS:O:15,20250714,1
BLUS:HAAO001:1:001MFBLUS:O:15,20250715,1
BLUS:HAAO001:1:001MFBLUS:O:15,20250716,1
BLUS:HAAO001:1:001MFBLUS:O:15,20250717,1
BLUS:HAAO001:1:001MFBLUS:O:15,20250718,1
BLUS:HAAO001:1:001MFBLUS:O:15,20250825,2
BLUS:HAAO001:1:001MFBLUS:O:16,20250616,2
BLUS:HAAO001:1:001MFBLUS:O:16,20250617,2
BLUS:HAAO001:1:001MFBLUS:O:16,20250618,2
BLUS:HAAO001:1:001MFBLUS:O:16,20250619,2
BLUS:HAAO001:1:001MFBLUS:O:16,20250620,2
BLUS:HAAO001:1:001MFBLUS:O:16,20250623,2
BLUS:HAAO001:1:001MFBLUS:O:16,20250624,2
BLUS:HAAO001:1:001MFBLUS:O:16,20250625,2
BLUS:HAAO001:1:001MFBLUS:O:16,20250626,2
BLUS:HAAO001:1:001MFBLUS:O:16,20250627,2
BLUS:HAAO001:1:001MFBLUS:O:16,20250630,2
BLUS:HAAO001:1:001MFBLUS:O:16,20250701,2
BLUS:HAAO001:1:001MFBLUS:O:16,20250702,2
BLUS:HAAO001:1:001MFBLUS:O:16,20250703,2
BLUS:HAAO001:1:001MFBLUS:O:16,20250704,2
BLUS:HAAO001:1:001MFBLUS:O:16,20250707,2
BLUS:HAAO001:1:001MFBLUS:O:16,20250708,2
BLUS:HAAO001:1:001MFBLUS:O:16,20250709,2
BLUS:HAAO001:1:001MFBLUS:O:16,20250710,2
BLUS:HAAO001:1:001MFBLUS:O:16,20250711,2
BLUS:HAAO001:1:001MFBLUS:O:16,20250714,2
BLUS:HAAO001:1:001MFBLUS:O:16,20250715,2
BLUS:HAAO001:1:001MFBLUS:O:16,20250716,2
BLUS:HAAO001:1:001MFBLUS:O:16,20250717,2
BLUS:HAAO001:1:001MFBLUS:O:16,20250718,2
BLUS:HAAO001:1:001MFBLUS:O:16,20250825,2
BLUS:HAAO001:1:001MFBLUS:O:17,20250616,1
BLUS:HAAO001:1:001MFBLUS:O:17,20250617,1
BLUS:HAAO001:1:001MFBLUS:O:17,20250618,1
BLUS:HAAO001:1:001MFBLUS:O:17,20250619,1
BLUS:HAAO001:1:001MFBLUS:O:17,20250620,1
BLUS:HAAO001:1:001MFBLUS:O:17,20250623,1
BLUS:HAAO001:1:001MFBLUS:O:17,20250624,1
BLUS:HAAO001:1:001MFBLUS:O:17,20250625,1
BLUS:HAAO001:1:001MFBLUS:O:17,20250626,1
BLUS:HAAO001:1:001MFBLUS:O:17,20250627,1
BLUS:HAAO001:1:001MFBLUS:O:17,20250630,1
BLUS:HAAO001:1:001MFBLUS:O:17,20250701,1
BLUS:HAAO001:1:001MFBLUS:O:17,20250702,1
BLUS:HAAO001:1:001MFBLUS:O:17,20250703,1
BLUS:HAAO001:1:001MFBLUS:O:17,20250704,1
BLUS:HAAO001:1:001MFBLUS:O:17,20250707,1
BLUS:HAAO001:1:001MFBLUS:O:17,20250708,1
BLUS:HAAO001:1:001MFBLUS:O:17,20250709,1
BLUS:HAAO001:1:001MFBLUS:O:17,20250710,1
BLUS:HAAO001:1:001MFBLUS:O:17,20250711,1
BLUS:HAAO001:1:001MFBLUS:O:17,20250714,1
