stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1900HA080527,,"Lyndhurst Fire Station",,50.872351679,-1.571504253,,,,,,
1900HA080525,,"Queens Road",,50.873774814,-1.567255939,,,,,,
1900HA080524,,"Thatched Cottage Park",,50.875086309,-1.564458108,,,,,,
1900HA080521,,"Lodgehill Cottage",,50.882504804,-1.547814319,,,,,,
1900HA080520,,"Ashurst Lodge",,50.886040227,-1.538966154,,,,,,
1900HA080517,,"Ashurst Railway Station",,50.89084147,-1.527485191,,,,,,
1900HA080222,,"Ashurst Shopping Parade",,50.892707894,-1.522123012,,,,,,
1900HA080219,,"Ashurst Co-op",,50.894746205,-1.517026079,,,,,,
1900HAA13542,,"Ash Grove",,50.897484671,-1.518177992,,,,,,
1900HA080223,,"Dene Way",,50.898918882,-1.51706826,,,,,,
1900HA080226,,"Foxhills, Ashdene Rd/Whartons Lane",,50.90172847,-1.513683091,,,,,,
1900HA080228,,"Foxhills Close",,50.903548999,-1.512950932,,,,,,
1900HA080230,,"Foxhills School",,50.905215101,-1.510944622,,,,,,
1900HA080231,,"Knellers Lane",,50.90597887,-1.50866108,,,,,,
1900HA080233,,"Rushington, Cocklydown Lane",,50.907419976,-1.503169936,,,,,,
1900HAA91108,,"Mill Way",,50.908601762,-1.501607345,,,,,,
1900HAA91645,,"Spicers Way",,50.911259493,-1.498563539,,,,,,
1900HA080236,,"Manor Close",,50.913223245,-1.497262257,,,,,,
1900HA080239,,"Culford Way",,50.913793356,-1.493927576,,,,,,
1900HA080201,,"Rushington Roundabout",,50.913517935,-1.490559365,,,,,,
1900HA080202,,"Brokenford Lane",,50.914616062,-1.488740834,,,,,,
1900HA080197,,"Batts Corner",,50.91630125,-1.485464783,,,,,,
1900HA080030,,"Totton, Shopping Precinct [B]",,50.918952967,-1.487270724,,,,,,
1900HA080033,,"Totton Railway Station [E]",,50.918840017,-1.482050992,,,,,,
1980HA122972,,"Redbridge Roundabout",,50.922255234,-1.471584609,,,,,,
1980SN120838,,"Redbridge School",,50.921140419,-1.465707339,,,,,,
